Study Title,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures
A Study of LY900014 Compared to Insulin Lispro (Humalog) in Adults With Type 2 Diabetes,"Change From Baseline in Hemoglobin A1c (HbA1c), HbA1c is the glycosylated fraction of hemoglobin A. HbA1c is measured to identify average plasma glucose concentration over prolonged periods of time. Least Squares (LS) mean was determined by mixed model repeated measures (MMRM) model with Baseline + Pooled Country + Number of Bolus at Study Entry Stratum + Type of Basal at Lead-in Stratum + Treatment + Time + Treatment\*Time (Type III sum of squares)., Baseline, Week 26","1-hour Postprandial Glucose (PPG) Excursion During Mixed-Meal Tolerance Test (MMTT), A standardized MMTT was used to characterize postprandial glucose control following administration of the study insulin. Serum glucose measured at 1-hour timepoint after the start of meal minus fasting serum glucose. Least Squares (LS) mean was determined by analysis of covariance (ANCOVA) model with Baseline + Pooled Country + Hemoglobin A1c Stratum at Baseline + Number of Bolus at Study Entry Stratum + Type of Basal at Lead-in Stratum + Treatment (Type III sum of squares)., Week 26|2-hour PPG Excursion During MMTT, A standardized MMTT was used to characterize postprandial glucose control following administration of the study insulin. Serum glucose measured at 2-hour timepoint after the start of meal minus fasting serum glucose. Least Squares (LS) mean was determined by analysis of covariance (ANCOVA) model with Baseline + Pooled Country + Hemoglobin A1c Stratum at Baseline + Number of Bolus at Study Entry Stratum + Type of Basal at Lead-in Stratum + Treatment (Type III sum of squares)., Week 26|Rate of Severe Hypoglycemia, Severe hypoglycemia is defined as an event requiring assistance of another person to administer carbohydrate, glucagon, or other resuscitative actions. Rate of severe hypoglycemia events per 100 years during a defined period was calculated by total number of severe hypoglycemia episodes within the period divided by the cumulative days on treatment from all participants within that treatment group \*36525., Baseline through Week 26|Rate of Documented Symptomatic Postmeal Hypoglycemia, Documented symptomatic postmeal hypoglycemia is an event during which typical symptoms of hypoglycemia are accompanied by blood glucose (BG) of ≤70 mg/dL \[3.9 millimole per liter (mmol/L)\]. The rate of documented symptomatic postmeal hypoglycemia was estimated by negative binomial model: number of episodes = treatment with log (treatment exposure in days/365.25) as an offset variable, Baseline through Week 26|Change From Baseline in 1,5-Anhydroglucitol (1,5-AG), 1,5-anhydroglucitol (1,5-AG) is a marker of short-term glycemic control especially postprandial hyperglycemia. 1,5-AG accurately predicts rapid changes in glycemia and is tightly associated with glucose fluctuations and postprandial glucose. LS Mean was calculated using mixed model repeated measures (MMRM) with Baseline + Pooled Country + Hemoglobin A1c Stratum at Baseline + Number of Bolus at Study Entry Stratum + Type of Basal at Lead-in Stratum + Treatment + Time + Treatment\*Time (Type III sum of squares), Baseline, Week 26|Change From Baseline in 10-Point Self-Monitoring Blood Glucose (SMBG) Values, SMBG 10-point profiles were measured at fasting, 1-hour post morning meal, 2-hours post morning meal, pre midday meal, 1-hour post midday meal, 2-hours post midday meal, pre evening meal, 1-hour post evening meal, 2-hours post evening meal, and bedtime. LS Mean was analyzed using mixed model repeated measures (MMRM) model with Baseline + Pooled Country + Hemoglobin A1c Stratum at Baseline + Number of Bolus at Study Entry Stratum + Type of Basal at Lead-in Stratum + Treatment + Time + Treatment\*Time (Type III sum of squares)., Baseline, Week 26|Change From Baseline in Insulin Dose, LS mean was determined by MMRM model with Baseline + Pooled Country + Hemoglobin A1c Stratum at Baseline + Number of Bolus at Study Entry Stratum + Type of Basal at Lead-in Stratum + Treatment + Time + Treatment\*Time (Type III sum of squares), Baseline, Week 26|Percentage of Participants With HbA1c <7% and ≤6.5%, Hemoglobin A1c (HbA1c) is the glycosylated fraction of hemoglobin A. HbA1c is measured to identify average plasma glucose concentration over prolonged periods of time. Only subjects with non-missing baseline value and at least one non-missing post-baseline value of the response variable were included in analysis., Week 26",
Efficacy and Safety Study of Teneligliptin (MP-513) in Combination With Insulin in Patients With Type 2 Diabetes,"Change From Baseline in HbA1c, The change from Baseline in HbA1c (the concentration of glucose bound to hemoglobin as a percent of the absolute maximum that can be bound) collected at Week 16. Least squares means were derived from an analysis of covariance (ANCOVA) model with treatment as a fixed effect and baseline HbA1c as a covariate., at Week 0 and Week 16","Change From Baseline in Fasting Plasma Glucose, The change from Baseline in Fasting Plasma Glucose collected at Week 16. Least squares means were derived from an analysis of covariance (ANCOVA) model with treatment as a fixed effect and baseline Fasting Plasma Glucose as a covariate., at Week 0 and Week 16|Change From Baseline in the Areas Under the Curve From 0 to 2 h (AUC0-2h) for Postprandial Plasma Glucose, The change from Baseline in AUC0-2h for Postprandial Plasma Glucose collected at Week 16. Least squares means were derived from an analysis of covariance (ANCOVA) model with treatment as a fixed effect and baseline AUC0-2h for Postprandial Plasma Glucose as a covariate., 0, 0.5, 1, 2 hours post-dose at Week 0 and Week 16|Change From Baseline in 2-hour Postprandial Plasma Glucose, The change from Baseline in 2-hour Postprandial Plasma Glucose collected at Week 16. Least squares means were derived from an analysis of covariance (ANCOVA) model with treatment as a fixed effect and baseline 2-hour Postprandial Plasma Glucose as a covariate., at Week 0 and Week 16",
South Danish Diabetes Study: Evaluation of the Antidiabetic Treatment of Type 2 Diabetes Mellitus,HbA1c following two years of treatment,"body weight|blood pressure|fasting blood glucose|diurnal blood glucose profiles (self monitored and continuously monitored)|fasting cholesterol (including HDL, LDL, and triglyceride)|free fatty acids|lactate|fasting insulin, proinsulin-C-peptide|urine glucose|urine albumin/creatinine ratio",
Efficacy and Safety Study of PEX168 in Combination Therapy Diabetes Mellitus Type 2 Patients With Metformin,"HbA1c, HbA1c change from baseline to treatment Week 24 when receiving PEX 168 combined with metformin hydrochloride as compared to the placebo combined with metformin hydrochloride；PEX 168 as compared to the placebo, given on the basis of diet control and exercise., Baseline to Week24","The proportion of HbA1c <6.5% and <7% at the end of the analysis., The proportion of HbA1c \<6.5% and \<7% at the end of the analysis, and the proportion receiving salvage therapy., Baseline to Week24|Fasting plasma glucose, Baseline to Week52|6 points glucose of fingertip, Each test point of time was before breakfast, 2 hours after breakfast, before lunch,2 hours after lunch , dinner, 2 hours after dinner.This test was performed four times including baseline,V19,V31 and V59., Baseline to Week52|Postprandial blood glucose two hours, Baseline to Week52|Postprandial blood glucose two hours AUC, Baseline to Week52|Lipid, Baseline to Week52|Weight measured by standardized procedure., Collect weight data in the morning of screening period, baseline,4,8,12,18,24,38,52 weeks by standardized procedure., Baseline to Week52|Blood pressure, Collect blood pressure data in the morning of screening period, baseline,4,8,12,18,24,38,52 weeks by standardized procedure., Baseline to Week52|Number of Participants with Adverse Events as a Measure of Safety and Tolerability, Baseline to Week 56",
A Study of the Efficacy and Safety of Semaglutide Injection in the Treatment of Type 2 Diabetes Mellitus,"The observed mean change in Glycosylated Haemoglobin A1c (HbA1c) values from baseline after 32 weeks of treatment., 32 weeks","The observed mean change in HbA1c values from baseline after 20 weeks of treatment., 20 weeks|Change From Baseline to Week 20 in Fasting Plasma Glucose (FPG)., 20 weeks|Change From Baseline to Week 32 in Fasting Plasma Glucose (FPG)., 32 weeks|Change From Baseline to Week 32 in HbA1c < 7.0% of participants., 32 weeks|Change From Baseline to Week 32 in HbA1c≤6.5% of participants., 32 weeks|Change From Baseline to Week 32 in HbA1c < 7.0% of participants with no hypoglycemic events., 32 weeks|Change From Baseline to Week 32 in Body Weight (Kilogram (kg))., 32 weeks|Change From Baseline to Week 32 in Systolic and Diastolic Blood Pressure., 32 weeks|Change From Baseline to Week 32 in Pulse Rate., 32 weeks|Change From Baseline to Week 32 in Fasting Blood Lipids: Total Cholesterol、Low-density Lipoprotein (LDL) Cholesterol、 High-density Lipoprotein (HDL) Cholesterol 、Triglycerides (Ratio to Baseline)., 32weeks",
Eze/Simva Switch Study in Diabetics (0653A-807),"Determine the additional LDL-C lowering achieved by switching to MK0653A as compared to Atorvastatin after 6 weeks of treatment, 6 Weeks","Determine the effect of MK0653A versus Atorvastatin on total cholesterol after 6 weeks of treatment, 6 Weeks",
A Study to Assess the Safety and Efficacy of Omarigliptin (MK-3102) in Participants With Type 2 Diabetes Mellitus (T2DM) and Inadequate Glycemic Control (MK-3102-011),"Change From Baseline in Hemoglobin A1c (A1C) at Week 24 (Phase A, FAS Population), A1C (%) is used to report average blood glucose levels over prolonged periods of time.

Because it was discovered that in another omarigliptin study (MK-3102-028, NCT01814748) subjects had taken metformin (prohibited per protocol, and taken without investigator knowledge), after unblinding of Phase A of this study, an analysis of metformin levels was performed on stored Week 18 blood samples. Of the subjects not rescued with metformin prior to Week 18, 10% in the omarigliptin group and 20% in the placebo group had levels showing that they were taking metformin (prohibited per protocol). The use of prohibited metformin disproportionately by the placebo group may have resulted in a smaller than expected treatment effect for efficacy outcome measures (see post-hoc analysis)., Baseline and Week 24|Percentage of Participants Who Experienced at Least One Adverse Event in Phase A (Excluding Data After Glycemic Rescue, Safety Population), An adverse event is any untoward medical occurrence in a participant administered study drug which does not necessarily have a causal relationship with the treatment. Adverse events may include the onset of new illness and the exacerbation of preexisting conditions.

This analysis may have been confounded by use of prohibited metformin (see results above for description of the use of prohibited metformin)., Up to 27 weeks|Percentage of Participants Who Discontinued From the Study Drug Due to an Adverse Event in Phase A (Excluding Data After Glycemic Rescue, Safety Population), An adverse event is any untoward medical occurrence in a participant administered study drug which does not necessarily have a causal relationship with the treatment. Adverse events may include the onset of new illness and the exacerbation of preexisting conditions.

This analysis may have been confounded by use of prohibited metformin (see results above for description of the use of prohibited metformin)., Up to 24 weeks|Percentage of Participants Who Experienced at Least One Adverse Event (Phase A + Phase B, Excluding Data After Glycemic Rescue, Safety Population), An adverse event is any untoward medical occurrence in a participant administered study drug which does not necessarily have a causal relationship with the treatment. Adverse events may include the onset of new illness and the exacerbation of preexisting conditions.

This analysis may have been confounded by use of prohibited metformin (see results above for description of the use of prohibited metformin)., Up to 57 weeks|Percentage of Participants Who Discontinued From the Study Drug Due to an Adverse Event (Phase A + Phase B, Excluding Data After Glycemic Rescue, Safety Population), An adverse event is any untoward medical occurrence in a participant administered study drug which does not necessarily have a causal relationship with the treatment. Adverse events may include the onset of new illness and the exacerbation of preexisting conditions.

This analysis may have been confounded by use of prohibited metformin (see results above for description of the use of prohibited metformin)., Up to 57 weeks","Percentage of Participants Who Achieve an A1C Goal of <7% (53 mmol/Mol) at Week 24 (Phase A, FAS Population), A1C is a blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). The percentage of participants who achieved A1C values \<7.0% (53 mmol/mol) in the FAS population at Week 24.

Because it was discovered that in another omarigliptin study (MK-3102-028, NCT01814748) subjects had taken metformin (prohibited per protocol, and taken without investigator knowledge), after unblinding of Phase A of this study, an analysis of metformin levels was performed on stored Week 18 blood samples. Of the subjects not rescued with metformin prior to Week 18, 10% in the omarigliptin group and 20% in the placebo group had levels showing that they were taking metformin (prohibited per protocol). The use of prohibited metformin disproportionately by the placebo group may have resulted in a smaller than expected treatment effect for efficacy outcome measures (see post-hoc analysis)., Week 24|Percentage of Participants Who Achieve an A1C Goal of <6.5% (48 mmol/Mol) at Week 24 (Phase A, FAS Population), A1C is a blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). The percentage of participants who achieved A1C values \<6.5% (48 mmol/mol) in the FAS population at Week 24.

Because it was discovered that in another omarigliptin study (MK-3102-028, NCT01814748) subjects had taken metformin (prohibited per protocol, and taken without investigator knowledge), after unblinding of Phase A of this study, an analysis of metformin levels was performed on stored Week 18 blood samples. Of the subjects not rescued with metformin prior to Week 18, 10% in the omarigliptin group and 20% in the placebo group had levels showing that they were taking metformin (prohibited per protocol). The use of prohibited metformin disproportionately by the placebo group may have resulted in a smaller than expected treatment effect for efficacy outcome measures (see post-hoc analysis)., Week 24|Change From Baseline in Fasting Plasma Glucose (FPG) at Week 24 (Phase A, FAS Population), Blood glucose was measured on a fasting basis (collected after an 10-hour fast). FPG is expressed as mg/dL. This change from baseline reflects the FPG level at Week 24 minus the FPG level at Week 0.

Because it was discovered that in another omarigliptin study (MK-3102-028, NCT01814748) subjects had taken metformin (prohibited per protocol, and taken without investigator knowledge), after unblinding of Phase A of this study, an analysis of metformin levels was performed on stored Week 18 blood samples. Of the subjects not rescued with metformin prior to Week 18, 10% in the omarigliptin group and 20% in the placebo group had levels showing that they were taking metformin (prohibited per protocol). The use of prohibited metformin disproportionately by the placebo group may have resulted in a smaller than expected treatment effect for efficacy outcome measures (see post-hoc analysis)., Baseline and Week 24|Change From Baseline in 2-hour Post Meal Glucose (PMG) at Week 24 (Phase A, FAS Population), Blood glucose was measured 2 hours after a meal (2-hour PMG). 2-hour PMG is expressed as mg/dL. This change from baseline in 2-hour PMG reflects the Week 24 2-hour PMG minus the Week 0 2-hour PMG.

Because it was discovered that in another omarigliptin study (MK-3102-028, NCT01814748) subjects had taken metformin (prohibited per protocol, and taken without investigator knowledge), after unblinding of Phase A of this study, an analysis of metformin levels was performed on stored Week 18 blood samples. Of the subjects not rescued with metformin prior to Week 18, 10% in the omarigliptin group and 20% in the placebo group had levels showing that they were taking metformin (prohibited per protocol). The use of prohibited metformin disproportionately by the placebo group may have resulted in a smaller than expected treatment effect for efficacy outcome measures (see post-hoc analysis)., Baseline and Week 24|Change From Baseline in A1C at Week 54 (Phase A + Phase B, FAS Population), A1C is a blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). Thus, this change from baseline reflects the Week 54 A1C minus the Week 0 A1C.

The results of the study at Week 54 may have been confounded by use of prohibited metformin (see results above for description of the use of prohibited metformin)., Baseline and Week 54|Percentage of Participants Who Achieve an A1C Goal of <7% (53 mmol/Mol) at Week 54 (Phase A + Phase B, FAS Population), The percentage of participants who achieved A1C values \<7.0% (53 mmol/mol) in the FAS population at Week 54.

The results of the study at Week 54 may have been confounded by use of prohibited metformin (see results above for description of the use of prohibited metformin)., Week 54|Percentage of Participants Who Achieve an A1C Goal of <6.5% at Week 54 (Phase A + Phase B, FAS Population), A1C is a blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). The percentage of participants who achieved A1C values \<6.5% (48 mmol/mol) in the FAS population at Week 54.

The results of the study at Week 54 may have been confounded by use of prohibited metformin (see results above for description of the use of prohibited metformin)., Week 54|Change From Baseline in FPG at Week 54 (Phase A + Phase B, FAS Population), Blood glucose was measured on a fasting basis (collected after an 10-hour fast). FPG is expressed as mg/dL. This change from baseline reflects the FPG level at Week 54 minus the FPG level at Week 0.

The results of the study at Week 54 may have been confounded by use of prohibited metformin (see results above for description of the use of prohibited metformin)., Baseline and Week 54",
Double-blind Sitagliptin Add-on Study in Japanese Participants With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control on Ipragliflozin (MK-0431J-842),"Change From Baseline in HbA1c at Week 24, HbA1c is measured as percent. Thus, this change from baseline reflects the Week 24 HbA1c percent minus the Week 0 HbA1c percent. Statistical analysis based on a constrained longitudinal data analysis (cLDA) model with terms for treatment, time, prior use of AHAs, the interactions of treatment by time, time by prior use of AHAs, and treatment by time by prior use of AHAs with the constraint that the mean baseline is the same for both treatment groups., Baseline and Week 24|Percentage of Participants Who Experienced at Least One Adverse Event (AE), An adverse event is defined as any untoward medical occurrence in a participant or clinical investigation participant administered a pharmaceutical product and which does not necessarily have to have a causal relationship with this treatment., Up to 26 weeks|Percentage of Participants Who Discontinued Study Drug Due to an AE, An adverse event is defined as any untoward medical occurrence in a participant or clinical investigation participant administered a pharmaceutical product and which does not necessarily have to have a causal relationship with this treatment., Up to 24 weeks","Change From Baseline in 2-hr PMG at Week 24, Change from baseline in 2-hr PMG at Week 24 is defined as Week 24 2-hr PMG minus Week 0 2-hr PMG. Statistical analysis based on a cLDA model with terms for treatment, time, prior use of AHAs, the interactions of treatment by time, time by prior use of AHAs, and treatment by time by prior use of AHAs with the constraint that the mean baseline 2-hr PMG is the same for both treatment groups., Baseline and Week 24|Change From Baseline in Glucose Total Area Under the Plasma Concentration Curve From Hour 0 to Hour 2 (AUC0-2hr) After Meal at Week 24, Change from Baseline in Glucose Total AUC0-2hr after Meal at Week 24 is defined as Week 24 Glucose Total AUC0-2hr after a meal minus Week 0 Glucose Total AUC0-2hr after a meal. Statistical analysis based on a cLDA model with terms for treatment, time, prior use of AHAs, the interactions of treatment by time, time by prior use of AHAs, and treatment by time by prior use of AHAs with the constraint that the mean baseline glucose total AUC0-2hr after meal is the same for both treatment groups., Baseline and Week 24 (just before loading meal [0 min], 30 min, 60 min and 120 min)|Change From Baseline in FPG at Week 24, Change from baseline in FPG at Week 24 is defined as Week 24 FPG minus Week 0 FPG. Statistical analysis based on a cLDA model with terms for treatment, time, prior use of AHAs, the interactions of treatment by time, time by prior use of AHAs, and treatment by time by prior use of AHAs with the constraint that the mean baseline FPG is the same for both treatment groups., Baseline and Week 24",
Double-blind Ipragliflozin Add-on Study in Japanese Participants With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control on Sitagliptin (MK-0431J-843),"Change From Baseline in HbA1c at Week 24, HbA1c is measured as percent. Thus, this change from baseline reflects the Week 24 HbA1c percent minus the Week 0 HbA1c percent. Statistical analysis based on a constrained longitudinal data analysis (cLDA) model with terms for treatment, time, prior use of AHAs, the interactions of treatment by time, time by prior use of AHAs, treatment by time by prior use of AHAs, and baseline eGFR value with the constraint that the mean baseline HbA1c is the same for both treatment groups., Baseline and Week 24|Percentage of Participants Who Experienced at Least One Adverse Event (AE), An adverse event is defined as any untoward medical occurrence in a participant or clinical investigation participant administered a pharmaceutical product and which does not necessarily have to have a causal relationship with this treatment., Up to 26 weeks|Percentage of Participants Who Discontinued Study Drug Due to an AE, An adverse event is defined as any untoward medical occurrence in a participant or clinical investigation participant administered a pharmaceutical product and which does not necessarily have to have a causal relationship with this treatment., Up to 24 weeks","Change From Baseline in FPG at Week 24, Change from baseline in FPG at Week 24 is defined as Week 24 FPG minus Week 0 FPG. Statistical analysis based on a cLDA model with terms for treatment, time, prior use of AHAs, the interactions of treatment by time, time by prior use of AHAs, treatment by time by prior use of AHAs, and baseline eGFR value with the constraint that the mean baseline FPG is the same for both treatment groups., Baseline and Week 24|Change From Baseline in 2-hr PMG at Week 24, Change from baseline in 2-hr PMG at Week 24 is defined as Week 24 2-hr PMG minus Week 0 2-hr PMG. Statistical analysis based on a cLDA model with terms for treatment, time, prior use of AHAs, the interactions of treatment by time, time by prior use of AHAs, treatment by time by prior use of AHAs, and baseline eGFR value with the constraint that the mean baseline 2-hr PMG is the same for both treatment groups., Baseline and Week 24|Change From Baseline in Glucose Total AUC0-2hr After Meal at Week 24, Change from baseline in glucose total AUC0-2hr after meal at Week 24 is defined as Week 24 glucose total AUC0-2hr after a meal minus Week 0 glucose total AUC0-2hr after a meal. Statistical analysis based on a cLDA model with terms for treatment, time, prior use of AHAs, the interactions of treatment by time, time by prior use of AHAs and treatment by time by prior use of AHAs, and baseline eGFR value with the constraint that the mean baseline glucose total AUC0-2hr after meal is the same for both treatment groups., Baseline and Week 24 (just before the loading meal [0 min], 30 min, 60 min and 120 min)|Change From Baseline in Body Weight at Week 24, Change from baseline in body weight at Week 24 is defined as Week 24 body weight minus Week 0 body weight. Statistical analysis based on a cLDA model with terms for treatment, time, prior use of AHAs, the interactions of treatment by time, time by prior use of AHAs and treatment by time by prior use of AHAs, and baseline eGFR value with the constraint that the mean baseline body weight is the same for both treatment groups., Baseline and Week 24",
Efficacy and Safety of LixiLan Versus Insulin Glargine Alone Both With Metformin in Japanese With Type 2 Diabetes Mellitus Inadequately Controlled on Basal Insulin and Oral Antidiabetic Drugs,"Change from baseline in HbA1c, Baseline, 26 weeks","Percentage of patients reaching HbA1c <7% or ≤6.5%, 26 weeks|Change from baseline in 2-hour postprandial plasma glucose (PPG) during standardized meal test, Baseline, 26 weeks|Change from baseline in blood glucose excursion during standardized meal test, Baseline, 26 weeks|Change from baseline in 7-point self-monitoring plasma glucose (SMPG) profiles (each time point and average daily value), Baseline, 26 weeks|Change from baseline in body weight, Baseline, 26 weeks|Change from baseline in FPG, Baseline, 26 weeks|Change from baseline in daily dose of insulin glargine, Baseline, 26 weeks|Percentage of patients reaching HbA1c <7% with no body weight gain, 26 weeks|Percentage of patients reaching HbA1c <7% with no body weight gain and with no documented (PG ≤70 mg/dL [3.9 mmol/L]) symptomatic hypoglycemia, 26 weeks|Percentage of patients reaching HbA1c <7% with no documented (PG ≤70 mg/dL [3.9 mmol/L]) symptomatic hypoglycemia, 26 weeks|Percentage of patients requiring a rescue therapy, 26 weeks|Number of hypoglycemic events, 26 weeks|Number of adverse events, 26 weeks|Measurement of anti-lixisenatide antibodies from baseline, Baseline, 26 weeks|Measurement of anti-insulin antibodies from baseline, Baseline, 26 weeks",
MK0431 (Sitagliptin) Pioglitazone Add-on Study for Patients With Type 2 Diabetes Mellitus (0431-055)(COMPLETED),"Change From Baseline in Hemoglobin A1c (HbA1c ) at Week 12, Change from the baseline measurement, where the baseline measurement was obtained at randomization (0 week) before receiving study medication., 12 Weeks","Change From Baseline in Fasting Plasma Glucose at Week 12, Change from baseline measurement, where the baseline measurement was obtained at randomization (0 week) before receiving study medication., 12 Weeks","Change From Baseline in 2 Hour Postprandial Glucose at Week 12, Change from baseline measurement, where the baseline measurement was obtained at randomization (0 week) before receiving study medication., 12 weeks|Change From Baseline in Hemoglobin A1c (HbA1c ) at Week 52, Change from the last value before receiving sitagliptin therapy: Week 0 for Sitagliptin/Sitagliptin group and Week 12 for the Placebo/Sitagliptin group., Week 52 (reflecting change from Week 0) for Sitagliptin/Sitagliptin group; Weeks 52 (reflecting change from Week 12) for Placebo/Sitagliptin group."
Investigate the Effect of AZD1656 on the Pharmacokinetics and Pharmacodynamics of Warfarin in Type 2 Diabetes Mellitus (T2DM) Patients,"To evaluate the pharmacokinetics of warfarin after a single dose when administered alone and in combination with AZD1656 at steady state by assessment of AUC and Cmax of both enantiomers of warfarin (S- and R-warfarin)., Serial PK blood samples will be taken on days 4-10 during the treatment periods","To evaluate the anticoagulant activity of warfarin upon co-administration with AZD1656 by assessment of prothrombin time (PT) and international normalised ratio (INR)., Serial blood samples for warfarin PD measurements will be taken on days 4-10 during the treatment periods|To evaluate the safety of AZD1656 in combination with warfarin by assessment of electrocardiogram, weight, pulse, blood pressure, laboratory variables (including 7-point glucose), physical examination and adverse events, Safety assessments will be monitored throughout the study, from screening visit until follow up visit.|To describe the pharmacokinetics of AZD1656 and its metabolite during concomitant warfarin administration by assessment of AUC0-24, Cmax, Ctrough, tmax, t1/2 and CL/F (AZD1656 only)., Serial PK blood samples will be taken on days 4-10 during the treatment periods",
A Study to Evaluate the Effect of ASP1941 in Adult Patients With Type 2 Diabetes Mellitus,"Mean change from baseline in Hemoglobin A1c (HbA1c), 12 weeks","Mean change from baseline in fasting plasma glucose (FPG), 12 weeks|Proportion of subjects achieving target goal of HbA1c <7.0%, 12 weeks|Proportion of subjects achieving target goal of HbA1c <6.5%, 12 weeks",
Switch From U-100 Insulin Analog to U-500 Regular Insulin in Pumps for Type 2 Diabetes,"differential HbA1c before and after insulin switch, HbA1c comparison between baseline and 1, 2, 3 year(s) after the switch to U-HbA1c comparison between baseline and 1, 2, 3 year(s) after the switch to U-500 insulin, baseline, 1-year, 2-years, 3-years","Total Daily Insulin Dose, Total Daily Insulin Dose at baseline and 1, 2, 3 year(s) after the switch to U-500 insulin, baseline, 1-year, 2-years, 3-years|Body Weight, Body Weight measured at baseline and 1, 2, 3 year(s) after the switch to U-500, baseline, 1-year, 2-years, 3-years|Lipids, Plasma Lipids measured at baseline and 1, 2, 3 year(s) after the switch to U-500, baseline, 1-year, 2-years, 3-years|Hypoglycemia events, Episodes of Hypoglycemia recorded before and during the study, baseline, 1-year, 2-years, 3-years|Continuous Glucose Monitoring before and after insulin switch, Continuous Glucose Monitoring comparison between baseline and 6-month after the switch to U-500, baseline, 6-month",
Trial to Assess Continuous Glucose Monitoring in Asian Americans With Type 2 Diabetes,"Feasibility (CGM device adherence), Number of hours device is active in total for the entire 6 month study period, 6 month|Feasibility (Consistency) 1, Proportion CGM program elements completed at each visit against a checklist of pre-specified essential elements, 6 months|Feasibility (Consistency) 2, Average session duration as compared to assigned time plan., 6 months|World Health Organization (Five) Well-Being Index (WHO-5) change over 6 month study period, WHO-5 uses a five-item scale to assess overall well-being, Change in measure comparing Baseline and 6 months|EQ-5D-5L change over 6 month study period, EQ-5D-5L assesses health status both as an overall self-rated health on a visual analog scale and across five areas (mobility, self-care, usual activities, pain/discomfort, and anxiety/depression) with three levels of severity (no/mild, moderate, or severe problems), Change in measure comparing Baseline and 6 months|Diabetes Distress Scale (DDS) change over 6 month study period, DDS is a 17-item scale that measures worry and concerns specifically related to diabetes and its management, Change in measure comparing Baseline and 6 months|Hypoglycemic Confidence Scale (HCS) change over 6 month study period, HCS is a nine-item survey that evaluates the degree to which patients feel able, secure, and comfortable about their ability to stay safe from hypoglycemic-related problems, Change in measure comparing Baseline and 6 months","HbA1c change (%) from 0-6 months, HbA1c change (%) between baseline (0 months) and end of intervention period (6 months) will be assessed as a continuous response variable for each study arm, Change in measure comparing Baseline and 6 months|Time in range (TIR) metrics change (%) from 0-6 months, Change in %TIR metrics between baseline (0 months) and end of intervention period (6 months) will be assessed as a continuous response variable for the CGM+ arm, Change in measure comparing Baseline and 6 months|Lipid changes from 0-6 months, We plan to assess the changes from baseline to 6 months for levels of lipid profile components, including total cholesterol, triglyceride, low-density lipoprotein (LDL), and high-density lipoprotein (HDL) levels., Change in measure comparing Baseline and 6 months|Blood pressure changes from 0-6 months, We will assess change from baseline to 6 months for systolic and diastolic blood pressures., Change in measure comparing Baseline and 6 months|eGFR changes from 0-6 months, We will assess change from baseline to 6 months for eGFR, Change in measure comparing Baseline and 6 months|Diabetes Knowledge and Behavior change from 0-6 months, Assessed through Semi-structured virtual interviews that will be conducted at the Baseline and 6-month mark., Change comparing Baseline and 6 months|Family/social-level factors impacting technological device for care management, Semi-structured virtual interviews conducted at baseline and 6-month mark (in both arms) will also probe participants on broad topics of stigmas related to technology will be assessed with more directed questions on stigmas in varying environments-home, work, and in social gatherings., Change comparing Baseline and 6 months",
Ertugliflozin vs. Glimepiride in Type 2 Diabetes Mellitus (T2DM) Participants on Metformin (MK-8835-002),"Change From Baseline in Hemoglobin A1C (A1C) at Week 52: Excluding Rescue Approach, A1C is blood marker used to report average blood glucose levels over prolonged periods of time and is reported as a percentage (%). A1C represents the percentage of glycated hemoglobin. This change from baseline reflects the Week 52 A1C minus the Week 0 A1C. A negative number indicates a reduction in A1C level. Participants who met glycemic rescue criteria received open-label sitagliptin glycemic rescue medication. The primary study objective was the MK-8835 15 mg vs. glimepiride comparison; the MK-8835 5mg vs glimerpiride comparison was a secondary study objective., Baseline and Week 52|Percentage of Participants Experiencing An Adverse Event (AE) Up to Week 106, An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study., Up to Week 106|Percentage of Participants Discontinuing Study Treatment Due to an AE Up to Week 104, An AE is defined as any unfavorable and unintended sign including an abnormal laboratory finding, symptom or disease associated with the use of a medical treatment or procedure, regardless of whether it is considered related to the medical treatment or procedure, that occurs during the course of the study., Up to Week 104","Percentage of Participants With an Adverse Event of Symptomatic Hypoglycemia Up to Week 52: Excluding Rescue Approach, Symptomatic hypoglycemia was an event with clinical symptoms reported by the investigator as hypoglycemia (biochemical documentation not required). Participants who met glycemic rescue criteria received open-label sitagliptin glycemic rescue medication., Up to Week 52|Change From Baseline in Body Weight at Week 52 Excluding Rescue Approach, This change from baseline reflects the Week 52 body weight minus the Week 0 body weight. Participants who met glycemic rescue criteria received open-label sitagliptin glycemic rescue medication., Baseline and Week 52|Change From Baseline in Sitting Systolic Blood Pressure (SBP) at Week 52 Excluding Rescue Approach, This change from baseline reflects the Week 52 SBP minus the Week 0 SBP. Participants who met glycemic rescue criteria received open-label sitagliptin glycemic rescue medication., Baseline and Week 52",
